
5-grams:
('general', 'candidate', 'michael', 'henry', 'challenges'): 5
('candidate', 'michael', 'henry', 'challenges', 'letitia'): 5
('michael', 'henry', 'challenges', 'letitia', 'james'): 5
('henry', 'challenges', 'letitia', 'james', 'to'): 5
('challenges', 'letitia', 'james', 'to', 'debate'): 5
('nys', 'commission', 'on', 'lobbying', 'ethics'): 5
('commission', 'on', 'lobbying', 'ethics', 'must'): 5
('on', 'lobbying', 'ethics', 'must', 'open'): 5
('lobbying', 'ethics', 'must', 'open', 'investigation'): 5
('ethics', 'must', 'open', 'investigation', 'into'): 5
('must', 'open', 'investigation', 'into', 'HOCHUL'): 5
('open', 'investigation', 'into', 'HOCHUL', 'dirty'): 5
('investigation', 'into', 'HOCHUL', 'dirty', 'deal'): 5
('ag', 'candidate', 'michael', 'henry', 'comptroller'): 5
('comptroller', 'candidate', 'paul', 'rodriguez', 'demand'): 5
('candidate', 'paul', 'rodriguez', 'demand', 'investigation'): 5
('paul', 'rodriguez', 'demand', 'investigation', 'of'): 5
('rodriguez', 'demand', 'investigation', 'of', 'pay'): 5
('demand', 'investigation', 'of', 'pay', 'to'): 5
('investigation', 'of', 'pay', 'to', 'play'): 5
('general', 'candidate', 'michael', 'henry', 'demands'): 5
('candidate', 'michael', 'henry', 'demands', 'letitia'): 5
('michael', 'henry', 'demands', 'letitia', 'james'): 5
('henry', 'demands', 'letitia', 'james', 'return'): 5
('demands', 'letitia', 'james', 'return', 'all'): 5
('letitia', 'james', 'return', 'all', 'money'): 5
('james', 'return', 'all', 'money', 'from'): 5
('return', 'all', 'money', 'from', 'donor'): 5
('all', 'money', 'from', 'donor', 'at'): 5
('money', 'from', 'donor', 'at', 'center'): 5
('from', 'donor', 'at', 'center', 'of'): 5
('donor', 'at', 'center', 'of', 'benjamin'): 5
('at', 'center', 'of', 'benjamin', 'bribery'): 5
('center', 'of', 'benjamin', 'bribery', 'scheme'): 5
('statement', 'from', 'michael', 'henry', 'on'): 5
('from', 'michael', 'henry', 'on', 'the'): 5
